Date;PKod;Pgroup;Pname;Pquantity;pce_zn;pwa_zn;pce_sn;pwa_sn;pce_sb;pwa_sb;pudzsb;pmarza;pmarzajedn;pkwmarza;pudzmarza;month
2018-01-01;368;DAIRY_CHESSE;DROZDZE BABUNI ROTEX;37.0;0.8;29.51;1.04;38.33;1.27;47.09;0.05;23.01;0.24;8.82;0.09;1
2018-01-01;8887;BREAD;DROZDZOWKA DROZDZOWA;174.0;1.33;231.36;1.51;263.37;1.64;284.75;0.32;12.15;0.18;32.01;0.33;1
2018-01-01;15491;GENERAL_FOOD;DZEM SL.OGROD WISNIA 280G;5.0;1.81;9.05;2.49;12.45;2.69;13.45;0.02;27.31;0.68;3.4;0.04;1
2018-01-01;16186;KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH;DZEM SLONECZNY OGROD BRZOSKWINIOWY 280G.;4.0;1.74;6.96;2.49;9.96;2.69;10.76;0.01;30.12;0.75;3.0;0.03;1
2018-01-01;19847;KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH;DZEM SLONECZNY OGROD CZARNA PORZECZ.280G;2.0;1.81;3.62;2.49;4.98;2.69;5.38;0.01;27.31;0.68;1.36;0.01;1
2018-01-01;16152;KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH;DZEM SLONECZNY OGROD TRUSKAWKOWY 280G;11.0;1.81;19.91;2.49;27.39;2.69;29.59;0.03;27.31;0.68;7.48;0.08;1
2018-01-01;6118;KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH;DZEM TRUSKAWKA 310 G WYSOKOS?ODZONY;1.0;3.28;3.28;4.16;4.16;4.49;4.49;0.01;21.15;0.88;0.88;0.01;1
2018-01-01;17286;GENERAL_FOOD;DZEM WISNIOWY WY/SLODZ 310 G;1.0;3.28;3.28;4.16;4.16;4.49;4.49;0.01;21.15;0.88;0.88;0.01;1
2018-01-01;3579;CHEMISTRY;E PLYN DO PLUKANIA 1 L;2.0;4.59;9.18;6.5;13.0;7.99;15.98;0.02;29.38;1.91;3.82;0.04;1
2018-01-01;4310;COFFEE TEA;EKOLAND HERBATA MULTIVITA 300GR TOR;1.0;2.49;2.49;3.69;3.69;3.99;3.99;0.0;32.52;1.2;1.2;0.01;1
2018-01-01;4415;COFFEE TEA;EKOLAND HERBATA OWOCE LE?NE 300GR TOR;9.0;2.49;22.41;3.69;33.21;3.99;35.91;0.04;32.52;1.2;10.8;0.11;1
2018-01-01;6603;SWEETS;EUROPAPIER DUZY;1.0;0.27;0.27;0.5;0.5;0.62;0.62;0.0;46.0;0.23;0.23;0.0;1
2018-01-01;8473;ART._HYGIENIC;EVA MYDLO W PLYNIE Z DOZ 500 MML;1.0;3.71;3.71;5.68;5.68;6.99;6.99;0.01;34.68;1.97;1.97;0.02;1
2018-01-01;5571;CHEMISTRY;EVA SIMPLA ZEL DO MYCIA 500 ML;1.0;3.62;3.62;5.59;5.59;6.87;6.87;0.01;35.24;1.97;1.97;0.02;1
2018-01-01;8026;CHEMISTRY;EVA SIMPLE 500 ML Z OWSEM;1.0;3.63;3.63;5.59;5.59;6.87;6.87;0.01;35.06;1.96;1.96;0.02;1
2018-01-01;4950;CHEMISTRY;FAIRY 1 L APPLE;5.0;4.34;21.71;6.41;32.05;7.89;39.45;0.04;32.26;2.07;10.34;0.11;1
2018-01-01;11440;SPICES;FASOLA  PIEKNY JAS 400G KROS;1.0;3.71;3.71;5.7;5.7;5.99;5.99;0.01;34.91;1.99;1.99;0.02;1
